name,team,position,espn_id
David Morgan,MIN,TE,2582138
David Njoku,CLE,TE,3123076
Davis Allen,LAR,TE,4426553
Davon Drew,BAL,TE,12538
Dawson Knox,BUF,TE,3930086
Deangelo Peterson,WAS,TE,15148
Dedrick Epps,NYJ,TE,13360
Devin Culp,TBB,TE,4361112
Donald Parham,PIT,TE,3912092
Dorin Dickerson,TEN,TE,13353
Drake Dabney,GBP,TE,4429466
Drake Dunsmore,TBB,TE,14996
Drew Sample,CIN,TE,3127310
Durham Smythe,CHI,TE,3052897
E.J. Jenkins,PHI,TE,4248557
Elijah Arroyo,SEA,TE,4678006
Elijah Higgins,ARI,TE,4426844
Eric Saubert,SEA,TE,2975863
Erick All,CIN,TE,4427834
Evan Engram,DEN,TE,3051876
Feleipe Franks,ATL,TE,4034948
Foster Moreau,NOS,TE,3843945
Garrett Dickerson,NYG,TE,3116132
Gavin Bartholomew,MIN,TE,4708049
Gavin Escobar,MIA,TE,15836
Gee Scott,WAS,TE,4429115
George Kittle,SFO,TE,3040151
Giovanni Ricci,DET,TE,3916749
Grant Calcaterra,PHI,TE,4241374
Greg Dulcich,MIA,TE,4367209
Greg Scruggs,NEP,TE,15120
Gunnar Helm,TEN,TE,4686728
Harold Fannin,CLE,TE,5083076
Harrison Bryant,HOU,TE,4040774
Hayden Rucci,SFO,TE,4428396
Hunter Henry,NEP,TE,3046439
Hunter Long,JAC,TE,4239944
Ian Thomas,LVR,TE,4045305
Ifeanyi Momah,ARI,TE,15775
Isaiah Likely,BAL,TE,4361050
Ja'Tavion Sanders,CAR,TE,4431588
Jack Stoll,NOS,TE,4034862
Jack Westover,NEP,TE,4361100
Jackson Hawes,BUF,TE,4573699
Jaheim Bell,PHI,TE,4429262
Jake Briningstool,KCC,TE,4431196
Jake Ferguson,DAL,TE,4242355
Jake Ingram,TEN,TE,12671
Jake Nordin,DET,TE,11142
Jake Stoneburner,NOS,TE,16493
Jake Tonges,SFO,TE,4259147
Jalin Conyers,MIA,TE,4431044
James Mitchell,CAR,TE,4361988
James Winchester,KCC,TE,16665
Jameson Konz,SEA,TE,13401
Jared Wiley,KCC,TE,4430723
Jason Peters,BUF,TE,6012
Jason Vander Laan,NOS,TE,3057863
Je'Ron Hamm,SFO,TE,17165
Jelani Woods,NYJ,TE,4241410
Jeremy Ruckert,NYJ,TE,4361372
Jerome Cunningham,WAS,TE,2476373
John Bates,WAS,TE,4048228
John FitzPatrick,GBP,TE,4379401
John Nalbone,SEA,TE,12706
Johnny Mundt,JAC,TE,3052096
Jonnu Smith,PIT,TE,3054212
Jordan Akins,JAC,TE,3128452
Jordan Franks,CIN,TE,3128439
Jordan Thompson,DET,TE,16705
Josh Oliver,MIN,TE,3921690
Josh Whyle,GBP,TE,4360086
Joshua Simon,ATL,TE,4430482
Josiah Deguara,ARI,TE,3914151
Julian Hill,MIA,TE,4365395
Justin Snow,IND,TE,2442
Juwan Johnson,NOS,TE,3929645
Kaseem Sinceno,CHI,TE,5692
Keavon Milton,CLE,TE,16095
Keleki Latu,BUF,TE,4688552
Ko Kieft,TBB,TE,4034779
